[[ 8.5032  5.8121  2.9871 -0.9139 -0.4775 -0.1154  0.      0.      0.    ]],[[ 5.8121  4.1378  2.3001 -0.8027 -0.3663 -0.0303  0.      0.      0.    ]],[[ 2.9871  2.3001  1.4662 -0.7848 -0.336  -0.      0.      0.      0.    ]],[[-0.9139 -0.8027 -0.7848  8.2073  5.4742  2.6241  0.      0.      0.    ]],[[-0.4775 -0.3663 -0.336   5.4742  3.741   1.8705  0.      0.      0.    ]],[[-0.1154 -0.0303 -0.      2.6241  1.8705  1.      0.      0.      0.    ]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[801.7427 534.5641 252.9883  13.3372   9.4898   5.0421]],[[534.5641 368.965  182.0945  24.9537  21.1063  14.0446]],[[252.9883 182.0945 101.616   16.1674   7.0617  -0.    ]],[[ 13.3372  24.9537  16.1674 801.4864 533.8941 252.9299]],[[  9.4898  21.1063   7.0617 533.8941 366.3018 183.1509]],[[  5.0421  14.0446  -0.     252.9299 183.1509 100.    ]]
[[9. 6. 3. 0. 0. 0. 0. 0. 0.]],[[ 6.  4.  2. -0. -0. -0.  0.  0.  0.]],[[3. 2. 1. 0. 0. 0. 0. 0. 0.]],[[ 0. -0.  0.  9.  6.  3.  0.  0.  0.]],[[ 0. -0.  0.  6.  4.  2.  0.  0.  0.]],[[ 0. -0.  0.  3.  2.  1.  0.  0.  0.]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[9.6573 6.2577 4.3786 0.0172 0.0097 0.0032 0.     0.     0.    ]],[[6.2577 4.1011 2.5406 0.0204 0.0129 0.0058 0.     0.     0.    ]],[[ 4.3786  2.5406  3.8915  0.0161  0.0071 -0.      0.      0.      0.    ]],[[0.0172 0.0204 0.0161 9.     6.     3.     0.     0.     0.    ]],[[0.0097 0.0129 0.0071 6.     4.     2.     0.     0.     0.    ]],[[ 0.0032  0.0058 -0.      3.      2.      1.      0.      0.      0.    ]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[ 9.5357  6.5673  4.115  -0.9545 -0.6526 -0.2108  0.      0.      0.    ]],[[ 6.5673  4.599   3.1345 -0.9551 -0.6533 -0.2098  0.      0.      0.    ]],[[ 4.115   3.1345  3.1516 -0.6137 -0.4435  0.      0.      0.      0.    ]],[[-0.9545 -0.9551 -0.6137  8.8566  5.8815  2.9464  0.      0.      0.    ]],[[-0.6526 -0.6533 -0.4435  5.8815  3.9064  1.9532  0.      0.      0.    ]],[[-0.2108 -0.2098  0.      2.9464  1.9532  1.      0.      0.      0.    ]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[ 9.1671  6.5626  3.7248 -0.9063 -0.5962 -0.1197  0.      0.      0.    ]],[[ 6.5626  5.184   3.3089 -0.9042 -0.594   0.0043  0.      0.      0.    ]],[[ 3.7248  3.3089  2.4338 -0.9107 -0.5983 -0.      0.      0.      0.    ]],[[-0.9063 -0.9042 -0.9107  8.5963  5.6644  2.8316  0.      0.      0.    ]],[[-0.5962 -0.594  -0.5983  5.6644  3.7324  1.8662  0.      0.      0.    ]],[[-0.1197  0.0043 -0.      2.8316  1.8662  1.      0.      0.      0.    ]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[ 8.7905  6.3766  3.3201 -0.7052 -0.4154 -0.0095  0.      0.      0.    ]],[[ 6.3766  5.5912  3.091  -0.5305 -0.2406  0.3292  0.      0.      0.    ]],[[ 3.3201  3.091   1.8869 -0.9723 -0.5699 -0.      0.      0.      0.    ]],[[-0.7052 -0.5305 -0.9723  8.3572  5.4748  2.7003  0.      0.      0.    ]],[[-0.4154 -0.2406 -0.5699  5.4748  3.5923  1.7961  0.      0.      0.    ]],[[-0.0095  0.3292 -0.      2.7003  1.7961  1.      0.      0.      0.    ]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[ 8.565   6.2304  3.0512 -0.7616 -0.3994  0.      0.      0.      0.    ]],[[ 6.2304  5.7698  2.7975 -0.292   0.0702  0.5394  0.      0.      0.    ]],[[ 3.0512  2.7975  1.5438 -0.8946 -0.4692 -0.      0.      0.      0.    ]],[[-0.7616 -0.292  -0.8946  8.1709  5.3569  2.5883  0.      0.      0.    ]],[[-0.3994  0.0702 -0.4692  5.3569  3.5429  1.7715  0.      0.      0.    ]],[[ 0.      0.5394 -0.      2.5883  1.7715  1.      0.      0.      0.    ]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[ 8.4297  6.1097  2.9053 -1.0786 -0.5527 -0.0739  0.      0.      0.    ]],[[ 6.1097  5.6068  2.5899 -0.3493  0.1766  0.5618  0.      0.      0.    ]],[[ 2.9053  2.5899  1.3789 -0.8181 -0.3852  0.      0.      0.      0.    ]],[[-1.0786 -0.3493 -0.8181  7.9712  5.2656  2.491   0.      0.      0.    ]],[[-0.5527  0.1766 -0.3852  5.2656  3.56    1.78    0.      0.      0.    ]],[[-0.0739  0.5618  0.      2.491   1.78    1.      0.      0.      0.    ]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[ 8.2641  5.925   2.8391 -1.4001 -0.7212 -0.1563  0.      0.      0.    ]],[[ 5.925   5.0784  2.4981 -0.6403  0.0386  0.407   0.      0.      0.    ]],[[ 2.8391  2.4981  1.3726 -0.8584 -0.3684 -0.      0.      0.      0.    ]],[[-1.4001 -0.6403 -0.8584  7.7073  5.151   2.3937  0.      0.      0.    ]],[[-0.7212  0.0386 -0.3684  5.151   3.5947  1.7973  0.      0.      0.    ]],[[-0.1563  0.407  -0.      2.3937  1.7973  1.      0.      0.      0.    ]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
