[ 0.2177  0.0031 -1.7348 -0.9083  0.0282  0.007 ],[ 0.0031  0.     -0.0246 -0.0129  0.0004  0.0001],[-1.7348 -0.0246 13.8221  7.2366 -0.2244 -0.0558],[-0.9083 -0.0129  7.2366  3.7888 -0.1175 -0.0292],[ 0.0282  0.0004 -0.2244 -0.1175  0.0036  0.0009],[ 0.007   0.0001 -0.0558 -0.0292  0.0009  0.0002]
[ 0.0408  0.0709 -0.7769 -0.4004  0.0003  0.0026],[ 0.0709  0.1233 -1.3501 -0.6959  0.0006  0.0046],[-0.7769 -1.3501 14.785   7.6205 -0.0061 -0.0501],[-0.4004 -0.6959  7.6205  3.9278 -0.0032 -0.0258],[ 0.0003  0.0006 -0.0061 -0.0032  0.      0.    ],[ 0.0026  0.0046 -0.0501 -0.0258  0.      0.0002]
[53.6012 30.0049  0.0948  0.0318],[30.0049 16.7961  0.0531  0.0178],[0.0948 0.0531 0.0002 0.0001],[0.0318 0.0178 0.0001 0.    ]
[ 4.      2.      0.      0.     -0.2549 -0.0881],[ 2.      1.      0.      0.     -0.1275 -0.044 ],[ 0.  0.  0.  0. -0. -0.],[ 0.  0.  0.  0. -0. -0.],[-0.2549 -0.1275 -0.     -0.      0.0162  0.0056],[-0.0881 -0.044  -0.     -0.      0.0056  0.0019]
[ 4.      2.     -7.6624 -3.8312 -0.2307 -0.0559],[ 2.      1.     -3.8312 -1.9156 -0.1154 -0.0279],[-7.6624 -3.8312 14.6779  7.339   0.442   0.1071],[-3.8312 -1.9156  7.339   3.6695  0.221   0.0535],[-0.2307 -0.1154  0.442   0.221   0.0133  0.0032],[-0.0559 -0.0279  0.1071  0.0535  0.0032  0.0008]
[ 3.1978  2.0878 -6.3531 -3.1686 -0.1171 -0.0286],[ 2.0878  1.3631 -4.1479 -2.0688 -0.0764 -0.0187],[-6.3531 -4.1479 12.6216  6.295   0.2325  0.0569],[-3.1686 -2.0688  6.295   3.1396  0.116   0.0284],[-0.1171 -0.0764  0.2325  0.116   0.0043  0.001 ],[-0.0286 -0.0187  0.0569  0.0284  0.001   0.0003]
[ 2.5255  1.351  -5.4108 -2.6793 -0.0288 -0.009 ],[ 1.351   0.7228 -2.8946 -1.4333 -0.0154 -0.0048],[-5.4108 -2.8946 11.5927  5.7403  0.0618  0.0193],[-2.6793 -1.4333  5.7403  2.8424  0.0306  0.0095],[-0.0288 -0.0154  0.0618  0.0306  0.0003  0.0001],[-0.009  -0.0048  0.0193  0.0095  0.0001  0.    ]
[ 1.9324  0.9634 -4.4321 -2.216   0.0822  0.02  ],[ 0.9634  0.4803 -2.2096 -1.1048  0.041   0.01  ],[-4.4321 -2.2096 10.1652  5.0826 -0.1885 -0.0459],[-2.216  -1.1048  5.0826  2.5413 -0.0942 -0.0229],[ 0.0822  0.041  -0.1885 -0.0942  0.0035  0.0009],[ 0.02    0.01   -0.0459 -0.0229  0.0009  0.0002]
[ 1.3942  0.4963 -3.8427 -1.9014  0.0795  0.0205],[ 0.4963  0.1766 -1.3678 -0.6768  0.0283  0.0073],[-3.8427 -1.3678 10.5912  5.2406 -0.2192 -0.0564],[-1.9014 -0.6768  5.2406  2.5931 -0.1085 -0.0279],[ 0.0795  0.0283 -0.2192 -0.1085  0.0045  0.0012],[ 0.0205  0.0073 -0.0564 -0.0279  0.0012  0.0003]
[ 0.9183  0.1238 -3.0577 -1.5334  0.0575  0.0138],[ 0.1238  0.0167 -0.4122 -0.2067  0.0078  0.0019],[-3.0577 -0.4122 10.1813  5.1059 -0.1915 -0.0461],[-1.5334 -0.2067  5.1059  2.5606 -0.096  -0.0231],[ 0.0575  0.0078 -0.1915 -0.096   0.0036  0.0009],[ 0.0138  0.0019 -0.0461 -0.0231  0.0009  0.0002]
[ 0.5491  0.1381 -2.3267 -1.1912  0.0282  0.0071],[ 0.1381  0.0347 -0.5851 -0.2995  0.0071  0.0018],[-2.3267 -0.5851  9.8594  5.0475 -0.1196 -0.0302],[-1.1912 -0.2995  5.0475  2.5841 -0.0612 -0.0154],[ 0.0282  0.0071 -0.1196 -0.0612  0.0015  0.0004],[ 0.0071  0.0018 -0.0302 -0.0154  0.0004  0.0001]
[ 0.277   0.1519 -1.6694 -0.8471 -0.0082  0.0049],[ 0.1519  0.0832 -0.9152 -0.4644 -0.0045  0.0027],[-1.6694 -0.9152 10.0607  5.1052  0.0493 -0.0294],[-0.8471 -0.4644  5.1052  2.5906  0.025  -0.0149],[-0.0082 -0.0045  0.0493  0.025   0.0002 -0.0001],[ 0.0049  0.0027 -0.0294 -0.0149 -0.0001  0.0001]
[930.3669 486.9292   0.9768   0.5954],[486.9292 254.8458   0.5113   0.3116],[0.9768 0.5113 0.001  0.0006],[0.5954 0.3116 0.0006 0.0004]
[ 4.      2.     -0.     -0.     -0.2791 -0.0939],[ 2.      1.     -0.     -0.     -0.1395 -0.0469],[-0. -0.  0.  0.  0.  0.],[-0. -0.  0.  0.  0.  0.],[-0.2791 -0.1395  0.      0.      0.0195  0.0065],[-0.0939 -0.0469  0.      0.      0.0065  0.0022]
[ 4.      2.     -7.5975 -3.7988 -0.2311 -0.0561],[ 2.      1.     -3.7988 -1.8994 -0.1156 -0.028 ],[-7.5975 -3.7988 14.4306  7.2153  0.439   0.1065],[-3.7988 -1.8994  7.2153  3.6076  0.2195  0.0533],[-0.2311 -0.1156  0.439   0.2195  0.0134  0.0032],[-0.0561 -0.028   0.1065  0.0533  0.0032  0.0008]
