[2. 1. 0. 0. 0. 0.],[ 1.  0.  0. -0.  0.  0.],[0. 0. 4. 2. 0. 0.],[ 0. -0.  2.  1.  0.  0.],[0.  0.  0.  0.  0.1 0. ],[0.  0.  0.  0.  0.  0.1]
[2. 1. 0. 0. 0. 0.],[ 1.     0.432  0.    -0.     0.     0.   ],[0. 0. 4. 2. 0. 0.],[ 0. -0.  2.  1.  0.  0.],[0.  0.  0.  0.  0.1 0. ],[0.  0.  0.  0.  0.  0.1]
[2.1936 1.2115 0.     0.     0.     0.    ],[ 1.2115 -0.8522 -0.5536 -0.3065  0.      0.    ],[ 0.     -0.5536  3.9322  1.9661  0.      0.    ],[ 0.     -0.3065  1.9661  1.      0.      0.    ],[0.  0.  0.  0.  0.1 0. ],[0.  0.  0.  0.  0.  0.1]
[2.3714 1.2757 0.     0.     0.     0.    ],[ 1.2757  0.4083 -0.4817 -0.4938  0.      0.    ],[ 0.     -0.4817  3.9435  1.9718  0.      0.    ],[ 0.     -0.4938  1.9718  1.      0.      0.    ],[0.  0.  0.  0.  0.1 0. ],[0.  0.  0.  0.  0.  0.1]
[2.5301 1.2726 0.     0.     0.     0.    ],[ 1.2726  1.1455 -0.0469 -0.0557  0.      0.    ],[ 0.     -0.0469  3.9994  1.9997  0.      0.    ],[ 0.     -0.0557  1.9997  1.      0.      0.    ],[0.  0.  0.  0.  0.1 0. ],[0.  0.  0.  0.  0.  0.1]
[2.6222 1.2487 0.     0.     0.     0.    ],[1.2487 0.2501 0.4769 0.4731 0.     0.    ],[0.     0.4769 3.9388 1.9694 0.     0.    ],[0.     0.4731 1.9694 1.     0.     0.    ],[0.  0.  0.  0.  0.1 0. ],[0.  0.  0.  0.  0.  0.1]
[2.6624 1.2498 0.     0.     0.     0.    ],[ 1.2498 -0.505   0.8272  0.4509  0.      0.    ],[0.     0.8272 3.8102 1.9051 0.     0.    ],[0.     0.4509 1.9051 1.     0.     0.    ],[0.  0.  0.  0.  0.1 0. ],[0.  0.  0.  0.  0.  0.1]
[2.7152 1.3034 0.     0.     0.     0.    ],[1.3034 0.1998 0.864  0.0552 0.     0.    ],[0.     0.864  3.795  1.8975 0.     0.    ],[0.     0.0552 1.8975 1.     0.     0.    ],[0.  0.  0.  0.  0.1 0. ],[0.  0.  0.  0.  0.  0.1]
[2.7923 1.3816 0.     0.     0.     0.    ],[ 1.3816  1.5492  0.5532 -0.1355  0.      0.    ],[0.     0.5532 3.9189 1.9594 0.     0.    ],[ 0.     -0.1355  1.9594  1.      0.      0.    ],[0.  0.  0.  0.  0.1 0. ],[0.  0.  0.  0.  0.  0.1]
[282.7464 141.3611   0.       0.    ],[141.3611 136.8886  -0.      -0.6461],[  0.      -0.     399.9956 199.9978],[  0.      -0.6461 199.9978 100.    ]
